question,answer
Why is an action potential normally unidirectional ?,Because the previous region that was depolarised can’t be depolarised straight away again because it is in its refractory period
In the CNS why are action potentials generally generated in the axon initial segment ?,Because this is where there is he highest concentration of sodium channels
What is saltatory conduction ?,It is the means of passing on an action potential in myelinated neurones The action potential jumps from each node of ranvier to the next because the nodes contain the high concentration of ion channels
What is driving force equal to ?,The membrane potential minus the equilibrium potential of the ion
Why are calculated reversal potentials always different to the real life reversal potentials ?,They are never the same as the calculated potentials because there are leak channels present in the membrane which allow the passage of ions
What are phased neurones ?,Fire a burst of transient activity and then shut down
What are tonic neurones?,Neurones which constantly fire
What are accommodating neurones ?,Initially fire at a high frequency but then get slower and slower until they stop
What are spontaneous active bursting neurones ?,These are pacemaker neurons They don’t require an external stimulus Neurone oscillates without an external input and then shuts down automatically
What is the patch-clamp technique ?,"Enables recordings of electrical activity of a neuroneUsing a glass electrode and placing it ins reservoir of cells, the membrane of a cell can be sucked into the electrode by applying a negative pressure The resistance between the membrane and the electrode is so tight it creates a gigs ohm seal which ensures leak current is tiny It enables the recording of activity of a single channel"
What toxin can be used to block sodium currents ?,Tetrodotoxin-it blocks sodium channels
What toxin can block potassium currents ?,Tetrammonium - blocks potassium channels
What is the benefit of blocking the sodium and potassium channels independently ?,It enables the ability to see the effects of current and membrane potential caused by each ion separately. It can show the threshold for opening of each of the ion channels Sodium channel threshold is about -50mV Potassium channel threshold is about -20mV
What are outwardly rectifying potassium channels ?,There are 2 types\n\nnon inactivating channels which stay open as long as depolarisation occurs\ninactivating channels which open at depolarisation and close at hyper polarisation
What are inwardly rectifying potassium channels ?,They open at hyper polarisation and close at depolarisation\nThey do not participate in depolarisation of action potentials
What are depolarising activated non inactivating potassium channels ?,They are an outwardly rectifying current\nThey are referred to as M current
What are depolarising activated inactivating potassium channels ?,They are outwardly rectifying current\nThey are known as A current
What are depolarising and calcium activated potassium channels ?,They are sensitive to the intracellular concentration of calcium and also voltage They are known as BK channels They change the shape of the action potential
What are cyclic nucleotide activated cation channels ?,These are depolarising channels which are non selective to cations They are called H current
What is an example of an inward rectifying potassium channel ?,GIRK channel - G protein inwardly rectifying potassium channel These open by hyper polarisation
What are the properties of the M channel ?,They slowly activate They are non-inactivating so they are too slow to cause repolarisation Important at maintaining the resting membrane potential Remains open as long as depolarisation is occurring Has a low threshold of about -60mV so it’s contributes to the leak channels It’s classed as an accommodating neurone
What is an example of an M channel activator and what is its purpose ?,Retigabine\nIt is an anti-epileptic drug which enables the M current so less aps are fired
What is an example of an M channel inhibitor ?,XE991\nIt causes the neurone to firing tonically
What neurotransmitter inhibits M channels and what is the consequence ?,Acetylcholine\nIt targets M channels and inhibit its current so neurone remains excited
What are the effects of acetylcholine on muscarinic receptors ?,When it binds to M 1 receptors it’s linked to Gq protein which inhibits M current and caused excitation When it binds to M 2 receptors it’s linked to Gi proteins which causes GIRK activation causing inhibition of the neurone
What happens when chloride channels are opened in mature neurones ?,They have a low intracellular chloride concentration\nThey have more KCC2 channels so they constantly extrude chloride ions
What happens to chloride when chloride channels are opened in an immature neurone ?,They have a high intracellular chloride concentration\nThey have more NKCC1 channels which is why they have a high intracellular chloride concentration
What happens when GABA binds to mature neurones ?,Causes hyperpolarisation
What happens when GABA binds to immature neurones ?,It causes depolarisation
What are metabotropic receptors?,These a integral membrane proteins which have a 7 transmembrane domain and are linked to a G protein Cause a slow response Binds a neurotransmitter on its extracellular part Activates signal  cascades
